date,temp,sealevel
1895,50.34,0.767716535
1896,51.99,0.468503937
1897,51.56,0.673228346
1898,51.43,1.043307086
1899,51.01,1.338582676
1900,52.77,1.125984251
1901,51.87,1.110236219
1902,51.59,1.291338581
1903,50.62,1.606299211
1904,51.16,1.2007874
1905,51.00,0.984251968
1906,51.73,1.251968503
1907,51.48,1.196850392
1908,52.08,1.098425196
1909,51.43,1.27559055
1910,52.42,1.271653542
1911,52.03,1.598425195
1912,50.23,1.476377951
1913,51.54,1.547244093
1914,51.84,1.795275589
1915,51.45,2.10629921
1916,50.85,2.031496061
1917,50.06,1.854330707
1918,51.87,1.791338581
1919,51.55,1.854330707
1920,51.07,1.905511809
1921,53.80,1.988188974
1922,52.03,1.952755904
1923,51.64,1.999999998
1924,50.59,1.712598423
1925,52.52,1.791338581
1926,51.95,2.047244092
1927,52.15,2.003937006
1928,51.92,1.850393699
1929,50.85,1.905511809
1930,51.98,2.062992124
1931,53.54,2.047244092
1932,51.73,2.271653541
1933,52.99,2.440944879
1934,54.10,2.228346454
1935,51.90,2.448818895
1936,52.15,2.295275588
1937,51.55,2.519685037
1938,53.18,2.622047241
1939,53.26,2.826771651
1940,51.89,2.618110234
1941,52.66,3.098425194
1942,51.84,3.098425194
1943,52.07,3.098425194
1944,51.83,2.84645669
1945,51.75,2.95669291
1946,52.95,3.251968501
1947,51.92,3.374015745
1948,51.61,3.562992122
1949,52.02,3.51181102
1950,51.39,3.598425193
1951,51.12,3.972440941
1952,52.27,3.870078736
1953,53.37,4.043307082
1954,53.33,3.929133854
1955,51.69,3.964566925
1956,52.34,3.763779524
1957,52.04,4.291338578
1958,51.93,4.346456688
1959,52.10,4.358267712
1960,51.44,4.503937003
1961,51.87,4.748031491
1962,51.90,4.543307082
1963,52.26,4.480314956
1964,51.67,4.169291334
1965,51.69,4.610236216
1966,51.49,4.397637791
1967,51.76,4.452755901
1968,51.32,4.484251964
1969,51.50,4.751968499
1970,51.61,4.67716535
1971,51.66,4.881889759
1972,51.37,5.240157475
1973,52.29,5.003937003
1974,52.26,5.472440939
1975,51.50,5.409448813
1976,51.47,5.370078735
1977,52.55,5.303149601
1978,51.04,5.555118105
1979,50.88,5.362204719
1980,52.39,5.598425191
1981,53.12,6.086614167
1982,51.34,5.858267711
1983,51.88,6.188976372
1984,51.97,6.153543301
1985,51.30,5.74803149
1986,53.32,5.771653537
1987,53.33,5.795275585
1988,52.63,5.980314955
1989,51.84,6.157480309
1990,53.51,6.24803149
1991,53.16,6.346456686
1992,52.60,6.374015742
1993,51.26,6.3031496
1994,52.87,6.507874009
1995,52.65,6.622047237
1996,51.88,6.78346456
1997,52.20,7.059055111
1998,54.23,6.669291332
1999,53.88,7.003937001
2000,53.27,7.055118103
2001,53.69,7.271653536
2002,53.21,7.366141725
2003,53.26,7.728346449
2004,53.10,7.712598417
2005,53.64,7.716535425
2006,54.25,7.885826764
2007,53.65,7.960629913
2008,52.29,8.303149598
2009,52.39,8.531496054
2010,52.98,8.83464566
2011,53.18,8.897637786
2012,55.28,9.244094479
2013,52.43,8.913385818
2014,52.54,
2015,54.40,
2016,54.92,
2017,54.55,
2018,53.52,
2019,52.68,
2020,54.36,